iter	Logloss
0	0.6561053409
1	0.6219127199
2	0.5903689447
3	0.5612831146
4	0.5344883924
5	0.5098057857
6	0.4870895726
7	0.466164125
8	0.446905549
9	0.4291710414
10	0.4128456451
11	0.3978184297
12	0.3839763557
13	0.3712315849
14	0.3569014307
15	0.3435040753
16	0.3312259876
17	0.3200158075
18	0.3097074
19	0.300266433
20	0.2915946467
21	0.2836356518
22	0.27630157
23	0.2695928069
24	0.2634084023
25	0.257709895
26	0.252463794
27	0.2476257135
28	0.2431679813
29	0.2390688687
30	0.2352714766
31	0.2317598299
32	0.2285792499
33	0.2255796812
34	0.2228038094
35	0.2202805198
36	0.2179090013
37	0.2157065055
38	0.2136893396
39	0.2118005789
40	0.2100575644
41	0.2084473765
42	0.2069284033
43	0.2055253445
44	0.2042064615
45	0.2029968113
46	0.2018507943
47	0.2008244977
48	0.1998382841
49	0.1989283388
50	0.1980996149
51	0.1973064042
52	0.1965861175
53	0.1958850829
54	0.195252882
55	0.1946433076
56	0.1940681913
57	0.1935373249
58	0.1930408659
59	0.192578661
60	0.1921470809
61	0.1917436579
62	0.1913732657
63	0.1910294494
64	0.1906894109
65	0.1903751516
66	0.1900809975
67	0.1898038117
68	0.1895488434
69	0.1893097339
70	0.1890927662
71	0.1888833232
72	0.1886809756
73	0.1884941042
74	0.1883204495
75	0.1881629829
76	0.1880127805
77	0.1878638504
78	0.1877268777
79	0.1876029747
80	0.1874861443
81	0.1873744411
82	0.1872747997
83	0.1871738704
84	0.1870742615
85	0.1869887335
86	0.1869005716
87	0.186827778
88	0.1867535354
89	0.186685426
90	0.1866241586
91	0.1865555988
92	0.1864903797
93	0.1864347276
94	0.1863835738
95	0.186326882
96	0.1862799061
97	0.1862366531
98	0.186188755
99	0.1861455129
100	0.186107006
101	0.1860713766
102	0.1860370792
103	0.1860075531
104	0.1859724727
105	0.1859446991
106	0.1859116625
107	0.1858836973
108	0.1858570186
109	0.185832461
110	0.1858103959
111	0.1857856008
112	0.1857643778
113	0.1857448035
114	0.1857232938
115	0.1857044388
116	0.1856880609
117	0.1856685357
118	0.185655667
119	0.1856404123
120	0.1856251281
121	0.1856120475
122	0.1855973445
123	0.1855906983
124	0.1855805965
125	0.1855691905
126	0.1855591342
127	0.1855510225
128	0.1855394836
129	0.1855289989
130	0.1855181985
131	0.1855085994
132	0.1854993025
133	0.1854910985
134	0.1854823557
135	0.1854745611
136	0.1854718642
137	0.1854644771
138	0.1854569103
139	0.1854511393
140	0.1854418702
141	0.1854354389
142	0.1854278003
143	0.1854198345
144	0.185411397
145	0.1854078382
146	0.1853995019
147	0.1853951706
148	0.1853902948
149	0.1853840007
150	0.1853744281
151	0.1853665287
152	0.185360022
153	0.1853547622
154	0.1853509511
155	0.1853447427
156	0.1853368208
157	0.1853319723
158	0.1853255159
159	0.185320381
160	0.1853182319
161	0.1853142568
162	0.1853084898
163	0.1853033162
164	0.1853008501
165	0.1852944938
166	0.1852910569
167	0.1852855002
168	0.1852826435
169	0.1852796366
170	0.1852775159
171	0.1852756071
172	0.1852698574
173	0.185266574
174	0.1852608392
175	0.185254845
176	0.1852502648
177	0.1852451491
178	0.1852392315
179	0.1852346936
180	0.1852323928
181	0.1852271666
182	0.1852236134
183	0.1852181479
184	0.1852111087
185	0.1852077124
186	0.1852044736
187	0.185198905
188	0.1851961361
189	0.1851939595
190	0.1851890017
191	0.1851864292
192	0.1851828105
193	0.1851787491
194	0.1851770686
195	0.1851749524
196	0.1851724648
197	0.1851703808
198	0.185165376
199	0.1851621599
200	0.1851566019
201	0.1851520836
202	0.1851500756
203	0.1851481659
204	0.1851432587
205	0.1851415604
206	0.1851389201
207	0.1851373987
208	0.1851344048
209	0.1851296261
210	0.1851249944
211	0.1851232419
212	0.1851203921
213	0.1851165145
214	0.1851144882
215	0.1851116341
216	0.1851070266
217	0.1851045346
218	0.1851005842
219	0.1850969462
220	0.1850935047
221	0.185089437
222	0.1850855327
223	0.18508373
224	0.185081112
225	0.1850753695
226	0.185073396
227	0.1850695155
228	0.1850665025
229	0.1850633465
230	0.1850592252
231	0.1850570969
232	0.1850547238
233	0.1850528581
234	0.1850469845
