iter	Passed	Remaining
401	16037	23857
402	16076	23816
403	16117	23776
404	16173	23761
405	16229	23744
406	16286	23728
407	16345	23717
408	16405	23705
409	16458	23683
410	16515	23668
411	16562	23637
412	16598	23592
413	16636	23547
414	16671	23501
415	16716	23467
416	16773	23450
417	16836	23442
418	16895	23428
419	16943	23397
420	16983	23357
421	17022	23315
422	17063	23275
423	17102	23232
424	17140	23189
425	17178	23146
426	17220	23108
427	17255	23061
428	17293	23017
429	17332	22975
430	17376	22939
431	17437	22926
432	17494	22908
433	17544	22880
434	17587	22843
435	17624	22798
436	17663	22756
437	17703	22715
438	17745	22676
439	17783	22634
440	17823	22592
441	17856	22542
442	17900	22506
443	17950	22478
444	18001	22451
445	18053	22425
446	18097	22389
447	18143	22354
448	18189	22322
449	18237	22290
450	18293	22268
451	18339	22234
452	18380	22194
453	18420	22153
454	18457	22108
455	18497	22066
456	18551	22042
457	18610	22023
458	18668	22003
459	18717	21972
460	18770	21945
461	18814	21909
462	18855	21869
463	18899	21831
464	18939	21790
465	18981	21751
466	19033	21722
467	19075	21683
468	19115	21642
469	19174	21622
470	19221	21589
471	19263	21548
472	19302	21505
473	19340	21462
474	19377	21416
475	19415	21373
476	19457	21333
477	19493	21287
478	19537	21250
479	19580	21212
480	19622	21172
481	19664	21133
482	19709	21097
483	19750	21056
484	19791	21016
485	19831	20974
486	19872	20933
487	19914	20894
488	19961	20859
489	20005	20822
490	20047	20782
491	20089	20743
492	20135	20706
493	20172	20662
494	20223	20632
495	20273	20600
496	20314	20559
497	20358	20521
498	20402	20484
499	20448	20448
500	20506	20424
501	20567	20403
502	20624	20378
503	20676	20348
504	20725	20315
505	20770	20278
506	20814	20240
507	20860	20203
508	20904	20165
509	20944	20123
510	20980	20076
511	21017	20032
512	21059	19992
513	21098	19948
514	21142	19910
515	21192	19877
516	21234	19837
517	21275	19796
518	21312	19751
519	21351	19708
520	21391	19667
521	21428	19621
522	21462	19574
523	21507	19537
524	21561	19508
525	21608	19472
526	21649	19431
527	21689	19389
528	21727	19345
529	21772	19307
530	21807	19261
531	21847	19218
532	21882	19172
533	21919	19128
534	21958	19085
535	21996	19042
536	22036	18999
537	22076	18957
538	22115	18915
539	22154	18872
540	22191	18828
541	22236	18789
542	22276	18748
543	22312	18703
544	22351	18660
545	22391	18618
546	22433	18578
547	22475	18537
548	22520	18500
549	22567	18464
550	22626	18438
551	22674	18402
552	22716	18361
553	22756	18319
554	22792	18274
555	22842	18241
556	22883	18199
557	22922	18157
558	22966	18118
559	22999	18071
560	23041	18030
561	23077	17985
562	23123	17948
563	23169	17910
564	23213	17872
565	23258	17834
566	23310	17801
567	23352	17761
568	23399	17724
569	23443	17685
570	23487	17646
571	23535	17610
572	23574	17567
573	23618	17529
574	23660	17487
575	23702	17447
576	23741	17405
577	23780	17362
578	23814	17316
579	23849	17270
580	23891	17229
581	23923	17182
582	23964	17140
583	24000	17096
584	24042	17055
585	24075	17008
586	24113	16965
587	24155	16925
588	24193	16882
589	24237	16843
590	24282	16804
591	24329	16767
592	24368	16725
593	24402	16679
594	24441	16636
595	24478	16592
596	24515	16549
597	24556	16508
598	24594	16464
599	24635	16423
600	24669	16377
601	24705	16333
602	24737	16286
603	24774	16243
604	24806	16195
605	24842	16151
606	24883	16110
607	24922	16068
608	24965	16028
609	25000	15983
610	25035	15939
611	25069	15893
612	25105	15849
613	25146	15808
614	25189	15769
615	25230	15728
616	25273	15688
617	25313	15646
618	25358	15608
619	25399	15567
620	25437	15524
621	25474	15481
622	25510	15437
623	25554	15398
624	25589	15353
625	25629	15312
626	25664	15267
627	25704	15226
628	25745	15185
629	25780	15140
630	25822	15100
631	25859	15057
632	25896	15014
633	25931	14969
634	25963	14924
635	25997	14879
636	26037	14837
637	26077	14796
638	26123	14758
639	26163	14717
640	26198	14672
641	26233	14628
642	26272	14586
643	26311	14545
644	26349	14502
645	26385	14458
646	26425	14417
647	26458	14372
648	26496	14330
649	26528	14284
650	26566	14242
651	26603	14199
652	26644	14158
653	26683	14117
654	26723	14075
655	26761	14033
656	26800	13991
657	26834	13947
658	26870	13904
659	26913	13864
660	26951	13822
661	26987	13779
662	27027	13737
663	27064	13695
664	27110	13657
665	27156	13619
666	27195	13577
667	27234	13535
668	27275	13494
669	27316	13454
670	27357	13413
671	27397	13372
672	27432	13329
673	27474	13288
674	27510	13245
675	27551	13205
676	27587	13162
677	27623	13119
678	27659	13076
679	27694	13032
680	27733	12991
681	27770	12948
682	27811	12908
683	27848	12865
684	27887	12824
685	27925	12782
686	27958	12737
687	27988	12692
688	28026	12650
689	28067	12610
690	28109	12569
691	28149	12529
692	28191	12488
693	28230	12447
694	28270	12406
695	28308	12364
696	28348	12323
697	28385	12281
698	28428	12241
699	28469	12201
700	28503	12157
701	28543	12116
702	28581	12075
703	28621	12033
704	28655	11990
705	28693	11948
706	28728	11906
707	28767	11864
708	28807	11823
709	28850	11783
710	28894	11744
711	28941	11706
712	28980	11665
713	29020	11624
714	29057	11582
715	29095	11540
716	29132	11498
717	29170	11457
718	29214	11417
719	29249	11374
720	29289	11334
721	29327	11292
722	29366	11250
723	29405	11209
724	29443	11168
725	29485	11128
726	29521	11085
727	29561	11045
728	29603	11004
729	29639	10962
730	29678	10921
731	29712	10878
732	29751	10837
733	29783	10793
734	29822	10752
735	29860	10710
736	29896	10668
737	29937	10628
738	29977	10587
739	30017	10546
740	30060	10506
741	30105	10468
742	30144	10426
743	30182	10385
744	30220	10343
745	30256	10301
746	30294	10260
747	30332	10219
748	30373	10178
749	30410	10136
750	30446	10094
751	30484	10053
752	30523	10012
753	30565	9972
754	30606	9931
755	30641	9889
756	30681	9848
757	30720	9807
758	30761	9767
759	30799	9726
760	30836	9684
761	30875	9643
762	30905	9599
763	30941	9557
764	30978	9516
765	31016	9475
766	31056	9434
767	31100	9394
768	31139	9354
769	31184	9314
770	31222	9273
771	31262	9232
772	31304	9192
773	31343	9152
774	31374	9108
775	31413	9067
776	31447	9025
777	31488	8985
778	31531	8945
779	31570	8904
780	31607	8862
781	31642	8820
782	31681	8780
783	31720	8739
784	31759	8698
785	31797	8657
786	31835	8616
787	31878	8576
788	31925	8537
789	31964	8496
790	32003	8455
791	32038	8414
792	32074	8372
793	32107	8330
794	32144	8288
795	32194	8250
796	32234	8210
797	32270	8168
798	32308	8127
799	32346	8086
800	32387	8046
801	32427	8005
802	32466	7965
803	32501	7923
804	32541	7882
805	32579	7841
806	32617	7800
807	32659	7760
808	32697	7719
809	32735	7678
810	32771	7637
811	32807	7595
812	32843	7554
813	32883	7513
814	32924	7473
815	32959	7432
816	32999	7391
817	33034	7349
818	33072	7309
819	33109	7268
820	33152	7228
